ID,NOME,ESPECIE,IDADE,PESO,CADASTRO_ATIVO,PROCEDIMENTOS
1,Gaia,Porquinho-da-india,3,6.42,False,Limpeza_tártaro
2,Stitch,Porquinho-da-india,5,0.55,True,Consulta_rotina
3,Arya,Hamster,1,37.58,False,Curativo_ferida;Limpeza_tártaro;Consulta_rotina
4,Pudim,Hamster,2,35.07,True,Ultrassonografia;Limpeza_tártaro
5,Koda,Calopsita,14,7.34,True,Vacinação;Limpeza_tártaro;Ultrassonografia
6,Luna,Hamster,8,23.72,True,Castração;Ultrassonografia;Consulta_rotina
7,Vicente,Calopsita,15,39.11,True,Limpeza_tártaro;Curativo_ferida;Hemograma
8,Tequila,Coelho,2,6.2,True,Curativo_ferida;Consulta_rotina;Limpeza_tártaro
9,Arthur,Gato,3,18.64,False,Consulta_rotina;Ultrassonografia;Hemograma
10,Pipoca,Gato,5,11.75,False,Vacinação;Castração
11,Otto,Cachorro,11,39.05,True,Ultrassonografia;Consulta_rotina
12,Alice,Gato,3,28.45,False,Limpeza_tártaro;Curativo_ferida;Vacinação
13,Zeca,Cachorro,12,38.49,False,Consulta_rotina
14,Vicente,Peixe-dourado,5,6.96,True,Consulta_rotina;Hemograma;Curativo_ferida
15,Lola,Peixe-dourado,3,26.15,True,Ultrassonografia
16,Bento,Gato,12,34.85,True,Curativo_ferida;Hemograma
17,Sushi,Calopsita,4,8.62,True,Vacinação;Ultrassonografia;Castração
18,Vicente,Calopsita,10,3.35,False,Vacinação
19,Frodo,Tartaruga,1,21.03,False,Ultrassonografia;Consulta_rotina
20,Yoda,Porquinho-da-india,5,1.77,False,Hemograma;Curativo_ferida;Ultrassonografia
21,Jade,Coelho,11,2.57,False,Consulta_rotina;Vacinação;Ultrassonografia
22,Zelda,Calopsita,11,3.01,False,Vacinação
23,Jujuba,Tartaruga,15,20.18,False,Consulta_rotina;Vacinação;Ultrassonografia
24,Nina,Tartaruga,5,24.79,False,Castração;Hemograma
25,Cecília,Gato,6,11.02,False,Vacinação
26,Amora,Hamster,11,38.44,True,Vacinação
27,Pudim,Hamster,2,1.22,False,Vacinação
28,Mel,Tartaruga,1,3.56,True,Consulta_rotina;Castração;Curativo_ferida
29,Alecrim,Gato,10,11.81,True,Vacinação
30,Zelda,Peixe-dourado,1,10.63,False,Limpeza_tártaro;Hemograma;Consulta_rotina
31,Arthur,Peixe-dourado,13,9.02,True,Vacinação
